id,group,routs
10000,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10002,2,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhuhuichang', 'chukou']"
10003,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10004,2,"['rukou', 'qiandao', 'haibao', 'zhanting', 'zhuhuichang', 'haibao', 'B', 'haibao', 'chukou']"
10012,6,"['rukou', 'qiandao', 'zhanting', 'ROOM1', 'fuwutai', 'zhuhuichang', 'zhanting', 'chukou']"
10014,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10015,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhanting', 'zhuhuichang', 'chukou']"
10021,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'ROOM3', 'fuwutai', 'xiuxian', 'zhanting', 'zhuhuichang', 'chukou']"
10022,6,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'zhanting', 'xiuxian', 'chukou']"
10026,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'haibao', 'A', 'haibao', 'chukou']"
10027,1,"['rukou', 'qiandao', 'fuwutai', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'fuwutai', 'zhanting', 'zhuhuichang', 'chukou']"
10032,2,"['rukou', 'qiandao', 'B', 'haibao', 'chukou']"
10033,5,"['rukou', 'qiandao', 'haibao', 'C', 'haibao', 'chukou']"
10037,0,"['rukou', 'qiandao', 'ROOM5', 'chukou']"
10041,0,"['rukou', 'qiandao', 'ROOM5', 'chukou']"
10045,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10046,0,"['rukou', 'qiandao', 'ROOM5', 'chukou']"
10051,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'A', 'haibao', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10053,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10056,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'chukou']"
10058,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhuhuichang', 'chukou']"
10077,1,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10080,5,"['rukou', 'qiandao', 'haibao', 'zhanting', 'haibao', 'C', 'haibao', 'fuwutai', 'chukou']"
10084,1,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'B', 'haibao', 'ROOM1', 'zhuhuichang', 'fuwutai', 'zhuhuichang', 'chukou']"
10085,2,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'chukou']"
10088,7,"['rukou', 'qiandao', 'haibao', 'A', 'haibao', 'chukou']"
10090,0,"['rukou', 'qiandao', 'haibao', 'ROOM5', 'chukou']"
10091,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10093,5,"['rukou', 'qiandao', 'haibao', 'zhanting', 'haibao', 'C', 'haibao', 'chukou']"
10101,1,"['rukou', 'qiandao', 'zhuhuichang', 'ROOM1', 'zhuhuichang', 'chukou']"
10109,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10111,3,"['rukou', 'ROOM2', 'haibao', 'ROOM2', 'chukou']"
10112,5,"['rukou', 'qiandao', 'haibao', 'C', 'chukou']"
10115,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'xiuxian', 'fuwutai', 'zhuhuichang', 'chukou']"
10117,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'xiuxian', 'zhuhuichang', 'fuwutai', 'chukou']"
10121,0,"['rukou', 'qiandao', 'zhanting', 'ROOM5', 'chukou']"
10123,1,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'zhuhuichang', 'fuwutai', 'ROOM1', 'haibao', 'zhuhuichang', 'chukou']"
10127,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'ROOM3', 'zhuhuichang', 'chukou']"
10134,1,"['rukou', 'qiandao', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10135,5,"['rukou', 'qiandao', 'C', 'qiandao', 'chukou']"
10136,6,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'xiuxian', 'zhuhuichang', 'chukou']"
10137,7,"['rukou', 'qiandao', 'haibao', 'zhanting', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10142,2,"['rukou', 'qiandao', 'B', 'haibao', 'chukou']"
10143,1,"['rukou', 'qiandao', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'chukou']"
10145,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'chukou']"
10146,7,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'A', 'haibao', 'zhuhuichang', 'chukou']"
10150,6,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'ROOM1', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'chukou']"
10151,1,"['rukou', 'qiandao', 'zhuhuichang', 'chukou']"
10152,7,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'chukou']"
10155,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'fuwutai', 'zhanting', 'chukou']"
10157,2,"['rukou', 'qiandao', 'fuwutai', 'zhanting', 'haibao', 'B', 'haibao', 'qiandao', 'chukou']"
10162,1,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'haibao', 'B', 'haibao', 'xiuxian', 'zhuhuichang', 'fuwutai', 'zhuhuichang', 'chukou']"
10163,1,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'ROOM3', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10164,4,"['rukou', 'qiandao', 'ROOM6', 'qiandao', 'ROOM6', 'qiandao', 'chukou']"
10170,7,"['rukou', 'qiandao', 'zhuhuichang', 'fuwutai', 'haibao', 'A', 'haibao', 'chukou']"
10171,2,"['rukou', 'qiandao', 'haibao', 'B', 'haibao', 'chukou']"
10172,6,"['rukou', 'qiandao', 'zhanting', 'xiuxian', 'zhanting', 'zhuhuichang', 'zhanting', 'chukou']"
10174,2,"['rukou', 'qiandao', 'B', 'haibao', 'chukou']"
10175,5,"['rukou', 'qiandao', 'haibao', 'C', 'haibao', 'fuwutai', 'chukou']"
10178,7,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'A', 'haibao', 'xiuxian', 'zhuhuichang', 'chukou']"
10181,3,"['rukou', 'ROOM2', 'zhuhuichang', 'A', 'haibao', 'ROOM2', 'chukou']"
10182,6,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'haibao', 'B', 'haibao', 'xiuxian', 'zhuhuichang', 'haibao', 'zhuhuichang', 'fuwutai', 'chukou']"
10192,2,"['rukou', 'qiandao', 'haibao', 'qiandao', 'chukou']"
10193,2,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'haibao', 'B', 'haibao', 'chukou']"
10194,7,"['rukou', 'qiandao', 'zhuhuichang', 'fuwutai', 'haibao', 'A', 'haibao', 'xiuxian', 'chukou']"
10196,4,"['rukou', 'qiandao', 'ROOM6', 'qiandao', 'ROOM6', 'qiandao', 'chukou']"
