"id","area_A","area_B","area_C","area_D","area_sign","area_poster","area_wc1","area_wc2","area_wc3","area_room1","area_room2","area_room3","area_room4","area_room5","area_room6","area_serve","area_disc","area_main","area_canteen","area_leisure","area_other","area_ladder2","area_ladder4","area_ladder1","area_ladder3"
"10001",0,0,0,9164,255,651,287,0,0,0,0,0,0,0,0,0,0,0,0,205,1404,76,65,,
"10003",0,0,0,0,313,0,0,161,159,0,0,0,0,0,0,0,992,9497,0,0,951,41,40,,
"10012",0,0,0,0,213,107,0,283,0,0,0,0,0,0,0,20,0,12130,0,0,1339,,,,
"10014",0,0,0,0,434,0,275,510,0,0,0,562,0,0,0,22,848,11004,389,53,1114,89,92,,
"10015",0,0,0,8770,388,775,286,193,356,399,0,0,0,0,0,0,41,12157,736,5054,3198,170,174,,
"10018",0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,89,706,4744,163,0,620,59,57,,
"10019",10004,0,0,0,0,1004,373,51,109,1237,3878,609,0,0,0,14,0,10711,1581,0,3137,,,83,77
"10021",0,0,0,0,263,0,0,0,83,0,0,0,0,0,0,0,139,12195,0,464,1039,46,45,,
"10022",0,0,0,0,368,17,140,0,266,0,0,0,0,0,0,15,0,10035,0,503,2953,96,104,,
"10023",0,0,9300,0,263,90,406,0,0,414,0,0,0,0,0,0,0,0,0,433,1374,55,57,,
"10026",0,0,0,0,182,0,0,723,0,0,0,435,0,0,0,31,197,10430,337,147,1572,109,141,,
"10027",0,0,0,0,267,0,0,264,73,0,0,594,0,0,0,152,310,9961,784,0,1524,105,95,,
"10037",0,0,0,0,232,0,0,0,314,457,0,0,0,20115,0,0,0,0,840,0,536,85,83,,
"10041",0,0,0,0,376,0,350,0,274,547,0,0,0,24740,0,160,0,0,839,0,656,49,51,,
"10045",0,0,0,0,205,0,0,69,222,0,0,0,0,0,0,0,172,10984,0,0,1367,51,51,,
"10046",0,0,0,0,405,20,708,0,0,551,0,0,0,18086,0,34,0,0,6818,46,1786,93,95,,
"10049",0,0,0,0,298,0,0,56,0,0,0,0,0,0,0,0,1019,7002,326,0,844,62,56,,
"10051",0,0,0,0,408,455,0,102,122,0,0,0,0,0,0,7,0,10377,922,480,2234,154,157,,
"10053",0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,1159,7467,0,0,598,,,,
"10056",0,0,0,0,403,0,0,609,0,0,0,0,0,0,0,0,1307,9687,261,0,990,55,52,,
"10058",0,0,8811,0,288,154,438,148,1010,450,0,0,0,0,0,28,0,11743,1432,3695,3563,265,269,,
"10062",2937,6222,0,0,251,295,95,0,0,145,0,0,0,0,0,0,0,0,0,1812,977,57,61,,
"10070",0,0,0,0,282,0,0,30,0,0,0,0,0,0,0,124,1166,0,0,0,2147,42,43,,
"10077",0,0,0,0,310,57,137,569,0,0,0,0,0,0,0,0,0,11763,0,0,3290,109,94,,
"10078",0,9542,0,0,186,148,78,0,54,468,0,0,0,0,0,0,0,0,0,1390,1521,97,97,,
"10080",0,9261,0,0,222,83,0,72,0,787,0,0,0,0,0,0,0,0,0,0,1998,,,,
"10082",0,0,0,0,219,0,0,224,0,0,0,505,0,0,0,8,266,11598,0,0,1300,48,51,,
"10083",0,0,0,5611,382,526,351,76,342,629,0,0,0,0,0,0,1702,8112,774,6906,2868,134,136,,
"10084",0,0,0,0,353,23,303,0,225,0,0,387,0,0,0,34,138,10187,468,159,1770,149,155,,
"10085",0,0,0,8105,206,62,387,68,154,0,0,0,0,0,0,76,3757,10135,0,4191,3355,109,100,,
"10087",0,0,0,0,520,1451,235,64,0,0,0,0,0,0,0,15,1702,0,0,0,998,,,,
